event_type,time_to_recover,event_timing,team
all_goals,64.261,before event,Argentina
all_goals,13.359,after event,Saudi Arabia
all_goals,5.11,after event,Saudi Arabia
all_goals,2.048,after event,Saudi Arabia
all_goals,2.039,after event,Saudi Arabia
all_goals,3.7640000000000002,after event,Saudi Arabia
all_goals,14.887,after event,Saudi Arabia
all_goals,20.093,after event,Argentina
all_goals,60.166,after event,Argentina
all_goals,32.992,after event,Argentina
all_goals,103.235,after event,Argentina
all_goals,49.936,before event,Argentina
all_goals,13.983,before event,Saudi Arabia
all_goals,4.576,before event,Saudi Arabia
all_goals,53.213,after event,Saudi Arabia
all_goals,11.432,after event,Saudi Arabia
all_goals,102.282,after event,Saudi Arabia
all_goals,1.585,after event,Saudi Arabia
all_goals,2.492,after event,Saudi Arabia
all_goals,53.213,before event,Saudi Arabia
all_goals,11.432,before event,Saudi Arabia
all_goals,102.282,before event,Saudi Arabia
all_goals,1.585,before event,Saudi Arabia
all_goals,2.492,before event,Saudi Arabia
all_goals,15.101,after event,Argentina
all_goals,27.453,after event,Saudi Arabia
all_goals,4.234,after event,Saudi Arabia
all_goals,56.741,after event,Saudi Arabia
all_goals,2.826,after event,Saudi Arabia
all_goals,22.974,after event,Saudi Arabia
all_goals,13.327,after event,Saudi Arabia
all_goals,67.952,after event,Argentina
substitutions,1.817,before event,Saudi Arabia
substitutions,72.097,before event,Saudi Arabia
substitutions,5.91,before event,Saudi Arabia
substitutions,32.177,before event,Saudi Arabia
substitutions,131.431,before event,Argentina
substitutions,169.934,before event,Argentina
substitutions,15.101,before event,Argentina
substitutions,27.453,before event,Saudi Arabia
substitutions,4.234,before event,Saudi Arabia
substitutions,56.741,before event,Saudi Arabia
substitutions,2.826,before event,Saudi Arabia
substitutions,22.974,before event,Saudi Arabia
substitutions,13.327,before event,Saudi Arabia
substitutions,67.952,before event,Argentina
substitutions,79.265,before event,Saudi Arabia
substitutions,94.486,after event,Argentina
substitutions,22.671,after event,Argentina
substitutions,12.585,after event,Argentina
substitutions,9.996,after event,Argentina
substitutions,65.533,after event,Argentina
substitutions,15.101,before event,Argentina
substitutions,27.453,before event,Saudi Arabia
substitutions,4.234,before event,Saudi Arabia
substitutions,56.741,before event,Saudi Arabia
substitutions,2.826,before event,Saudi Arabia
substitutions,22.974,before event,Saudi Arabia
substitutions,13.327,before event,Saudi Arabia
substitutions,67.952,before event,Argentina
substitutions,79.265,before event,Saudi Arabia
substitutions,94.486,after event,Argentina
substitutions,22.671,after event,Argentina
substitutions,12.585,after event,Argentina
substitutions,9.996,after event,Argentina
substitutions,65.533,after event,Argentina
substitutions,15.101,before event,Argentina
substitutions,27.453,before event,Saudi Arabia
substitutions,4.234,before event,Saudi Arabia
substitutions,56.741,before event,Saudi Arabia
substitutions,2.826,before event,Saudi Arabia
substitutions,22.974,before event,Saudi Arabia
substitutions,13.327,before event,Saudi Arabia
substitutions,67.952,before event,Argentina
substitutions,79.265,before event,Saudi Arabia
substitutions,94.486,after event,Argentina
substitutions,22.671,after event,Argentina
substitutions,12.585,after event,Argentina
substitutions,9.996,after event,Argentina
substitutions,65.533,after event,Argentina
substitutions,187.444,before event,Saudi Arabia
substitutions,278.466,before event,Saudi Arabia
