event_type,time_to_recover,event_timing,team
all_goals,109.808,after event,Argentina
all_goals,44.285,after event,Poland
all_goals,29.097,after event,Poland
all_goals,42.036,after event,Poland
all_goals,148.551,before event,Argentina
all_goals,3.891,before event,Argentina
all_goals,137.765,after event,Poland
all_goals,2.395,after event,Poland
all_goals,342.484,after event,Argentina
all_goals,95.331,before event,Argentina
all_goals,41.073,before event,Argentina
all_goals,5.819,before event,Argentina
all_goals,56.828,after event,Mexico
all_goals,158.954,after event,Mexico
all_goals,5.729,before event,Argentina
all_goals,31.03,before event,Mexico
all_goals,4.212,after event,Mexico
all_goals,11.762,after event,Argentina
all_goals,92.43,after event,Mexico
all_goals,7.374,after event,Mexico
all_goals,12.56,after event,Mexico
all_goals,135.65,after event,Argentina
all_goals,64.261,before event,Argentina
all_goals,13.359,after event,Saudi Arabia
all_goals,5.11,after event,Saudi Arabia
all_goals,2.048,after event,Saudi Arabia
all_goals,2.039,after event,Saudi Arabia
all_goals,3.7640000000000002,after event,Saudi Arabia
all_goals,14.887,after event,Saudi Arabia
all_goals,20.093,after event,Argentina
all_goals,60.166,after event,Argentina
all_goals,32.992,after event,Argentina
all_goals,103.235,after event,Argentina
all_goals,49.936,before event,Argentina
all_goals,13.983,before event,Saudi Arabia
all_goals,4.576,before event,Saudi Arabia
all_goals,53.213,after event,Saudi Arabia
all_goals,11.432,after event,Saudi Arabia
all_goals,102.282,after event,Saudi Arabia
all_goals,1.585,after event,Saudi Arabia
all_goals,2.492,after event,Saudi Arabia
all_goals,53.213,before event,Saudi Arabia
all_goals,11.432,before event,Saudi Arabia
all_goals,102.282,before event,Saudi Arabia
all_goals,1.585,before event,Saudi Arabia
all_goals,2.492,before event,Saudi Arabia
all_goals,15.101,after event,Argentina
all_goals,27.453,after event,Saudi Arabia
all_goals,4.234,after event,Saudi Arabia
all_goals,56.741,after event,Saudi Arabia
all_goals,2.826,after event,Saudi Arabia
all_goals,22.974,after event,Saudi Arabia
all_goals,13.327,after event,Saudi Arabia
all_goals,67.952,after event,Argentina
all_goals,70.294,before event,Australia
all_goals,83.795,before event,Argentina
all_goals,46.539,before event,Argentina
all_goals,27.865,before event,Argentina
all_goals,131.542,after event,Australia
all_goals,60.61,after event,Argentina
all_goals,36.888,after event,Argentina
all_goals,11.266,before event,Australia
all_goals,2.194,before event,Australia
all_goals,250.748,before event,Australia
all_goals,10.514,before event,Australia
all_goals,198.448,after event,Australia
all_goals,142.974,after event,Argentina
