event_type,time_to_recover,event_timing,team
all_goals,140.129,before event,France
all_goals,108.447,before event,France
all_goals,40.924,after event,England
all_goals,353.164,after event,France
all_goals,75.358,after event,France
all_goals,253.45,after event,France
all_goals,36.008,before event,England
all_goals,2.018,before event,England
all_goals,117.635,before event,France
all_goals,8.413,after event,England
all_goals,27.393,after event,England
all_goals,330.881,after event,France
substitutions,2.018,before event,England
substitutions,117.635,before event,France
substitutions,8.413,after event,England
substitutions,27.393,after event,England
substitutions,330.881,after event,France
substitutions,2.018,before event,England
substitutions,117.635,before event,France
substitutions,8.413,after event,England
substitutions,27.393,after event,England
substitutions,330.881,after event,France
substitutions,117.635,before event,France
substitutions,8.413,after event,England
substitutions,27.393,after event,England
substitutions,330.881,after event,France
substitutions,330.881,before event,France
substitutions,1.414,after event,France
substitutions,48.659,after event,England
substitutions,82.229,after event,France
substitutions,75.111,after event,France
substitutions,55.41,after event,England
substitutions,88.023,before event,England
substitutions,5.34,before event,England
substitutions,236.893,before event,England
substitutions,1.354,after event,England
tactical_shifts,88.023,before event,England
tactical_shifts,5.34,before event,England
tactical_shifts,236.893,before event,England
tactical_shifts,1.354,after event,England
injuries,58.864,after event,England
injuries,7.1370000000000005,after event,England
injuries,108.562,after event,England
injuries,140.201,after event,France
injuries,335.514,before event,England
injuries,335.514,before event,England
injuries,240.616,before event,England
injuries,62.694,after event,England
injuries,158.515,after event,France
injuries,59.994,before event,England
injuries,88.023,before event,England
injuries,5.34,before event,England
injuries,236.893,before event,England
injuries,1.354,after event,England
injuries,59.994,before event,England
injuries,88.023,before event,England
injuries,5.34,before event,England
injuries,236.893,before event,England
injuries,1.354,after event,England
yellow_cards,134.293,before event,England
yellow_cards,177.756,before event,France
yellow_cards,10.797,after event,France
yellow_cards,335.514,after event,England
yellow_cards,23.517,before event,England
yellow_cards,12.846,before event,England
yellow_cards,85.921,after event,France
yellow_cards,41.229,after event,France
yellow_cards,1.129,after event,France
yellow_cards,166.315,after event,England
yellow_cards,8.413,before event,England
yellow_cards,27.393,before event,England
yellow_cards,330.881,after event,France
yellow_cards,1.414,before event,France
yellow_cards,48.659,before event,England
yellow_cards,82.229,before event,France
yellow_cards,75.111,before event,France
yellow_cards,55.41,after event,England
yellow_cards,2.482,after event,England
yellow_cards,3.965,after event,France
yellow_cards,1.932,after event,France
yellow_cards,71.306,after event,England
yellow_cards,59.994,after event,England
yellow_cards,88.023,after event,England
