event_type,time_to_recover,event_timing,team
all_goals,80.583,before event,Denmark
all_goals,10.116,before event,Denmark
all_goals,4.345,before event,France
all_goals,62.437,after event,Denmark
all_goals,55.697,after event,Denmark
all_goals,43.919,after event,France
all_goals,62.437,before event,Denmark
all_goals,55.697,before event,Denmark
all_goals,43.919,before event,France
all_goals,68.434,before event,Denmark
all_goals,258.463,after event,France
all_goals,294.755,before event,France
all_goals,173.909,after event,Denmark
all_goals,228.204,after event,Denmark
all_goals,40.885,before event,Australia
all_goals,12.932,after event,France
all_goals,36.653,after event,France
all_goals,77.966,after event,France
all_goals,35.374,before event,France
all_goals,1.036,before event,France
all_goals,47.353,before event,Australia
all_goals,55.48,before event,Australia
all_goals,53.732,before event,Australia
all_goals,131.533,after event,France
all_goals,131.533,before event,France
all_goals,3.274,after event,Australia
all_goals,24.064,after event,Australia
all_goals,148.071,after event,France
all_goals,15.153,after event,France
all_goals,6.499,after event,France
all_goals,15.153,before event,France
all_goals,6.499,before event,France
all_goals,45.547,after event,Australia
all_goals,173.794,after event,Australia
all_goals,48.224,before event,France
all_goals,38.726,before event,Tunisia
all_goals,7.624,before event,France
all_goals,46.217,before event,France
all_goals,21.81,before event,France
all_goals,53.487,before event,Tunisia
all_goals,87.934,after event,France
all_goals,167.148,after event,France
all_goals,3.741,before event,France
all_goals,68.153,before event,France
all_goals,40.756,after event,France
all_goals,21.99,before event,France
all_goals,127.966,before event,France
all_goals,18.327,before event,Poland
all_goals,46.833,before event,Poland
all_goals,3.261,after event,France
all_goals,99.911,after event,France
all_goals,84.835,after event,France
all_goals,4.152,after event,Poland
all_goals,8.105,after event,France
all_goals,112.835,after event,France
all_goals,140.129,before event,France
all_goals,108.447,before event,France
all_goals,40.924,after event,England
all_goals,353.164,after event,France
all_goals,75.358,after event,France
all_goals,253.45,after event,France
all_goals,36.008,before event,England
all_goals,2.018,before event,England
all_goals,117.635,before event,France
all_goals,8.413,after event,England
all_goals,27.393,after event,England
all_goals,330.881,after event,France
all_goals,29.302,before event,Morocco
all_goals,44.144,before event,Morocco
all_goals,88.807,before event,Morocco
all_goals,63.389,before event,France
all_goals,3.472,before event,France
all_goals,6.407,after event,Morocco
all_goals,71.926,after event,Morocco
all_goals,5.552,after event,Morocco
all_goals,37.178,after event,Morocco
all_goals,59.06,after event,Morocco
all_goals,39.902,after event,Morocco
all_goals,7.451,before event,Morocco
all_goals,106.918,before event,Morocco
all_goals,7.774,before event,Morocco
all_goals,11.784,before event,France
all_goals,17.815,before event,France
all_goals,14.816,after event,Morocco
all_goals,148.505,after event,Morocco
all_goals,270.39,after event,France
all_goals,51.417,before event,Argentina
all_goals,32.079,before event,Argentina
all_goals,57.921,after event,France
all_goals,36.827,after event,France
all_goals,2.135,after event,France
all_goals,79.657,after event,Argentina
all_goals,498.005,after event,France
all_goals,11.971,after event,France
all_goals,8.102,after event,Argentina
all_goals,76.814,after event,France
all_goals,97.604,after event,Argentina
all_goals,139.563,after event,France
all_goals,4.732,before event,France
all_goals,39.69,before event,France
all_goals,18.486,before event,France
all_goals,62.954,before event,France
all_goals,30.983,before event,France
all_goals,34.128,before event,France
all_goals,42.099,after event,Argentina
all_goals,39.537,after event,Argentina
all_goals,16.143,after event,Argentina
all_goals,527.305,after event,Argentina
all_goals,62.954,before event,France
all_goals,30.983,before event,France
all_goals,34.128,before event,France
all_goals,42.099,before event,Argentina
all_goals,39.537,after event,Argentina
all_goals,16.143,after event,Argentina
all_goals,527.305,after event,Argentina
all_goals,8.412,before event,Argentina
all_goals,28.955,before event,Argentina
all_goals,4.663,before event,Argentina
all_goals,109.698,after event,France
all_goals,73.064,after event,France
all_goals,22.046,before event,France
all_goals,4.578,before event,France
all_goals,71.313,before event,France
all_goals,7.415,after event,Argentina
all_goals,5.376,after event,France
all_goals,7.401,after event,Argentina
all_goals,188.97,after event,Argentina
all_goals,60.442,after event,Argentina
substitutions,15.771,after event,France
substitutions,23.04,after event,Denmark
substitutions,20.654,after event,Denmark
substitutions,10.535,after event,France
substitutions,17.741,after event,Denmark
substitutions,25.438,after event,Denmark
substitutions,11.464,after event,Denmark
substitutions,3.227,after event,Denmark
substitutions,1.44,after event,Denmark
substitutions,576.753,after event,Denmark
substitutions,80.583,before event,Denmark
substitutions,10.116,before event,Denmark
substitutions,4.345,before event,France
substitutions,62.437,after event,Denmark
substitutions,55.697,after event,Denmark
substitutions,43.919,after event,France
substitutions,68.434,after event,Denmark
substitutions,258.463,before event,France
substitutions,99.059,after event,France
substitutions,55.791,after event,France
substitutions,126.282,after event,France
substitutions,258.463,before event,France
substitutions,99.059,before event,France
substitutions,55.791,after event,France
substitutions,126.282,after event,France
substitutions,40.915,after event,France
substitutions,99.059,before event,France
substitutions,55.791,after event,France
substitutions,126.282,after event,France
substitutions,40.915,after event,France
substitutions,53.421,after event,France
substitutions,21.166,before event,France
substitutions,294.755,before event,France
substitutions,173.909,after event,Denmark
substitutions,173.909,before event,Denmark
substitutions,228.204,before event,Denmark
substitutions,21.886,after event,Denmark
substitutions,145.561,after event,Denmark
substitutions,228.204,before event,Denmark
substitutions,21.886,after event,Denmark
substitutions,145.561,after event,Denmark
substitutions,12.932,before event,France
substitutions,36.653,before event,France
substitutions,77.966,after event,France
substitutions,46.531,after event,France
substitutions,184.392,after event,France
substitutions,47.898,before event,Australia
substitutions,13.429,before event,Australia
substitutions,13.611,before event,France
substitutions,64.984,before event,Australia
substitutions,314.456,before event,Australia
substitutions,1.708,after event,France
substitutions,386.82,after event,Australia
substitutions,15.153,before event,France
substitutions,6.499,before event,France
substitutions,45.547,after event,Australia
substitutions,173.794,after event,Australia
substitutions,15.153,before event,France
