Team,Match ID,Opposing Team,Event Type,Significant Impact,Avg TRB Before (s),Avg TRB After (s),Faster After Event,p-value
Argentina,3857264,Poland,Tactical Shifts,No,112.02,106.32,Yes,0.9360
Argentina,3857289,Mexico,Substitutions,No,48.80,49.63,No,0.6762
Argentina,3857289,Mexico,Injuries,No,104.07,76.39,Yes,0.3138
Argentina,3857289,Mexico,Yellow Cards,Yes,39.01,142.34,No,0.0411
Argentina,3857300,Saudi Arabia,Substitutions,Yes,92.16,43.42,Yes,0.0201
Argentina,3857300,Saudi Arabia,Tactical Shifts,No,104.87,34.89,Yes,0.0593
Argentina,3857300,Saudi Arabia,Injuries,Yes,113.01,7.12,Yes,0.0008
Argentina,3869151,Australia,Substitutions,No,175.41,120.40,Yes,0.5837
Argentina,3869151,Australia,Injuries,No,80.38,86.32,No,0.7496
Argentina,3869321,Netherlands,All Goals,No,46.21,29.93,Yes,0.4206
Argentina,3869321,Netherlands,Substitutions,No,27.62,37.24,No,0.9788
Argentina,3869321,Netherlands,Injuries,No,138.57,81.34,Yes,0.1067
Argentina,3869321,Netherlands,Yellow Cards,No,86.62,78.55,Yes,0.3900
Argentina,3869519,Croatia,All Goals,No,32.74,72.78,No,0.4898
Argentina,3869519,Croatia,Substitutions,No,99.60,79.75,Yes,0.6052
Argentina,3869519,Croatia,Tactical Shifts,No,95.00,76.05,Yes,0.5905
Argentina,3869519,Croatia,Injuries,No,81.23,90.82,No,0.5621
Argentina,3869519,Croatia,Yellow Cards,No,24.97,45.90,No,0.0823
Argentina,3869685,France,All Goals,No,27.94,118.40,No,0.2829
Argentina,3869685,France,Substitutions,No,67.04,60.72,Yes,0.6666
Argentina,3869685,France,Tactical Shifts,No,74.85,56.14,Yes,0.4711
Argentina,3869685,France,Injuries,No,146.37,83.63,Yes,0.5881
Argentina,3869685,France,Yellow Cards,No,137.70,43.63,Yes,0.1269
France,3857266,Denmark,Substitutions,No,147.90,65.44,Yes,0.2647
France,3857279,Australia,All Goals,No,37.92,61.26,No,0.3692
France,3857279,Australia,Substitutions,No,19.37,45.66,No,0.2025
France,3857275,Tunisia,Substitutions,No,70.93,63.27,Yes,0.6979
France,3857275,Tunisia,Injuries,No,77.58,85.07,No,0.8832
France,3869152,Poland,Substitutions,No,78.60,64.69,Yes,0.5689
France,3869552,Morocco,Injuries,No,68.11,57.87,Yes,0.8458
France,3869685,Argentina,All Goals,No,34.75,101.14,No,0.1761
France,3869685,Argentina,Substitutions,Yes,61.73,35.14,Yes,0.0283
France,3869685,Argentina,Tactical Shifts,No,54.53,31.96,Yes,0.0929
France,3869685,Argentina,Yellow Cards,No,53.87,61.23,No,0.5909
